trip.no	area.id	date	grid.id	trap.id	observer	fate	tag.left	tag.right	species	sex	weight	length	notch	repro.stat	died	trap.note
1	P-	11/05/1999	M1	A1		NEW	n/a	143	Mouse	F	22	80	Aut	Adult		
1	P-	11/05/1999	M1	B6		NEW	n/a	148	Mouse	M	14.5	80	Aut			Sex- mature female?
1	P-	11/05/1999	M1	C3		NEW	n/a	160	Mouse	M	19	70	Aut	Adult		
1	P-	11/05/1999	M1	C7		NEW	n/a	164	Mouse	F	16	75	Aut	Adult		
1	P-	11/05/1999	M1	D6		NEW	n/a	199	Mouse	F	21	75	Spr	Adult		
1	P-	11/05/1999	M1	D8		NEW	n/a	115	Mouse	M	15	75	Aut			
1	P-	11/05/1999	M1	I1		SE										Not set
1	P-	11/05/1999	M1	I3		NEW	n/a	120	Mouse	F	12	60	Aut	Juv		
1	P-	11/05/1999	M2	A1		NEW	n/a	177	Mouse	F	20	75	Aut	Adult		
1	P-	11/05/1999	M2	A4		NEW	n/a	196	Mouse	F	29	70	Aut	Preg		
1	P-	11/05/1999	M2	A7		DEAD			Ship Rat							
1	P-	11/05/1999	M2	D2		NEW	n/a	135	Mouse	M	19.5	80	Aut	Adult		
1	P-	11/05/1999	MR1	A7		SE										
1	P-	11/05/1999	MR1	B2		NEW	n/a	40	Mouse	F	15	70	Aut	Adult		
1	P-	11/05/1999	MR1	D7		NEW	n/a	162	Mouse	?	20	70	Aut	Adult		
1	P-	11/05/1999	MR1	E1		NEW	n/a	150	Mouse	F	20.5	70	Aut	Adult		
1	P-	11/05/1999	MR1	E7		NEW	n/a	21	Mouse	F	16	31	Aut	Adult		
1	P-	11/05/1999	MR1	F4		NEW	1044	1099	Ship Rat	F	115	160		Adult		
1	P-	11/05/1999	MR1	F9		NEW	n/a	20	Mouse	M	21	80	Aut	Adult		
1	P-	11/05/1999	MR1	G1		NEW	n/a	38	Mouse	M	23	75	Aut	Adult		
1	P-	11/05/1999	MR1	H3		NEW	n/a	167	Mouse	F	14	75	Aut	Adult		
1	P-	11/05/1999	MR2	A1		SE										Robin
1	P-	11/05/1999	MR2	A5		SE										
1	P-	11/05/1999	MR2	A6		SE										
1	P-	11/05/1999	MR2	A7		SE										
1	P-	11/05/1999	MR2	A8		SE										
1	P-	11/05/1999	MR2	A9		NEW	n/a	51	Mouse	F	15	76	Aut	Adult		trap tipped over- mouse inside
1	P-	11/05/1999	MR2	B6		SE										
1	P-	11/05/1999	MR2	B8		SE										
1	P-	11/05/1999	MR2	B9		SE										
1	P-	11/05/1999	MR2	C4		SE										
1	P-	11/05/1999	MR2	C9		SE										
1	P-	11/05/1999	MR2	D9		SE										
1	P-	11/05/1999	MR2	E1		NEW	n/a	107	Mouse	M	17	75	Aut			
1	P-	11/05/1999	MR2	F1		SE										
1	P-	11/05/1999	MR2	F8		SE										Robin released
1	P-	11/05/1999	MR2	H1		NEW	n/a	145	Mouse	M	19	78	Aut	Adult		
1	P-	11/05/1999	MR2	H2		NEW	n/a	144	Mouse	F	18.5	72	Aut	Adult		vagina bleeding - just mated?
1	P-	11/05/1999	MR2	H9		NEW	n/a	76	Mouse	M	17	70	Aut			
1	P-	11/05/1999	MR2	I1		SE										
1	P-	11/05/1999	R1	A3		SE										
1	P-	11/05/1999	R1	B2		DEAD	n/a		Mouse							
1	P-	11/05/1999	R1	C6		SE										
1	P-	11/05/1999	R1	E1		NEW	1036	1039	Ship Rat	F	123	150		Adult		Pregnant ?
1	P-	11/05/1999	R1	G1		DEAD	n/a		Mouse	F	14			Juv		
1	P-	11/05/1999	R2	A1		SE										
1	P-	11/05/1999	R2	A6		SE										
1	P-	11/05/1999	R2	B1		DEAD	n/a		Mouse	M	19			Adult		
1	P-	11/05/1999	R2	B2		SE										Robin
1	P-	11/05/1999	R2	B9		DEAD	n/a		Mouse		20					
1	P-	11/05/1999	R2	C2		DEAD	n/a		Mouse							
1	P-	11/05/1999	R2	C3		DEAD	n/a		Mouse							
1	P-	11/05/1999	R2	D8		DEAD	n/a		Mouse	F	15.5			Adult		
1	P-	11/05/1999	R2	E1		DEAD	n/a		Mouse	M	11			Adult		
1	P-	11/05/1999	R2	E6		DEAD	n/a		Mouse	M	20.5			Adult		
1	P-	11/05/1999	R2	F4		DEAD	n/a		Mouse							
1	P-	11/05/1999	R2	F6		DEAD	n/a		Mouse							
1	P-	11/05/1999	R2	F9		SE										
1	P-	11/05/1999	R2	G2		DEAD	n/a		Mouse							
1	P-	11/05/1999	R2	G3		SE										
1	P-	11/05/1999	R2	G6		DEAD	n/a		Mouse							
1	P-	11/05/1999	R2	G8		SE										Trap Gone (?)
1	P-	11/05/1999	R2	G9		DEAD	n/a		Mouse							
1	P-	11/05/1999	R2	H2		DEAD	n/a		Mouse	M	20.5			Adult		
1	P-	11/05/1999	R2	H5		SE										
1	P-	11/05/1999	R2	H9		DEAD	n/a		Mouse	M	11			Adult		
1	P-	11/05/1999	R2	I5		DEAD	n/a		Mouse	M	18			Adult		
1	P-	11/05/1999	R2	I6		DEAD	n/a		Mouse	F	19.5			Adult		
1	P-	11/05/1999	R2	I7		SE										
1	P-	12/05/1999	M1	A3		NEW	n/a	36	Mouse	M	20	75	Aut	Adult		
1	P-	12/05/1999	M1	A6		NEW	n/a	B	Mouse						y	DOA
1	P-	12/05/1999	M1	C3		NEW	n/a	10	Mouse	F	13.5	65	Aut	Adult		
1	P-	12/05/1999	M1	D8		SE										
1	P-	12/05/1999	M1	F6		RECAP	n/a	199	Mouse	F			Spr			
1	P-	12/05/1999	M1	H3		NEW	n/a	37	Mouse	M	22	75	Aut	Adult		
1	P-	12/05/1999	M1	H4		NEW	n/a	39	Mouse	F	23	75	Aut	Adult		
1	P-	12/05/1999	MR1	A9		NEW	n/a	93	Mouse	M	16	68	Aut	Adult		
1	P-	12/05/1999	MR1	G3		NEW	n/a	78	Mouse							
1	P-	12/05/1999	MR2	A1		SE										
1	P-	12/05/1999	MR2	A3		SE										
1	P-	12/05/1999	MR2	A9		NEW	n/a	A	Mouse						y	DOA
1	P-	12/05/1999	MR2	B3		SE										
1	P-	12/05/1999	MR2	B4		SE										
1	P-	12/05/1999	MR2	C6		NEW	n/a	90	Mouse	F	7	51	Aut	Juv		
1	P-	12/05/1999	MR2	H1		NEW	n/a	85	Mouse	F	15	65	Aut	Adult		
1	P-	12/05/1999	R1	A5		DEAD	n/a		Mouse							
1	P-	12/05/1999	R1	B7		DEAD	n/a		Mouse							
1	P-	12/05/1999	R2	A4		DEAD	n/a		Mouse							
1	P-	12/05/1999	R2	B1		DEAD	n/a		Mouse							
1	P-	12/05/1999	R2	E2		DEAD	n/a		Mouse							
1	P-	12/05/1999	R2	F1		DEAD	n/a		Mouse							
1	P-	12/05/1999	R2	F9		SE										
1	P-	12/05/1999	R2	I7		DEAD	n/a		Mouse							
1	P-	12/05/1999	R2	I9		DEAD	n/a		Mouse							
1	P-	13/05/1999	M1	A3		NEW	n/a	171	Mouse	M	22	78	Aut	Adult		
1	P-	13/05/1999	M1	A5		SE										
1	P-	13/05/1999	M1	A6		RECAP	n/a	148	Mouse	M			Aut	Adult		
1	P-	13/05/1999	M1	A9		SE										
