"","valley","grid.id","grid","trip.no","recap","n"
"1","egl","M1","egl M1",1,0,1
"2","egl","M1","egl M1",2,0,4
"3","egl","M1","egl M1",3,0,14
"4","egl","M1","egl M1",4,0,2
"5","egl","M1","egl M1",5,0,5
"6","egl","M1","egl M1",6,0,2
"7","egl","M1","egl M1",7,0,5
"8","egl","M1","egl M1",8,0,3
"9","egl","M1","egl M1",9,0,2
"10","egl","M2","egl M2",1,0,2
"11","egl","M2","egl M2",2,0,1
"12","egl","M2","egl M2",3,0,8
"13","egl","M2","egl M2",5,0,1
"14","egl","M2","egl M2",6,0,1
"15","egl","M2","egl M2",7,0,4
"16","egl","M2","egl M2",8,0,2
"17","egl","M2","egl M2",9,0,1
"18","egl","MR1","egl MR1",1,0,1
"19","egl","MR1","egl MR1",2,0,2
"20","egl","MR1","egl MR1",3,0,3
"21","egl","MR1","egl MR1",5,0,2
"22","egl","MR1","egl MR1",6,0,2
"23","egl","MR1","egl MR1",7,0,2
"24","egl","MR1","egl MR1",8,0,2
"25","egl","MR1","egl MR1",9,0,1
"26","egl","MR2","egl MR2",2,0,2
"27","egl","MR2","egl MR2",3,3,7
"28","egl","MR2","egl MR2",4,0,1
"29","egl","MR2","egl MR2",6,0,1
"30","egl","MR2","egl MR2",8,0,1
"31","hol","M1","hol M1",3,0,1
"32","hol","M1","hol M1",4,0,1
"33","hol","M1","hol M1",5,0,6
"34","hol","M1","hol M1",6,0,8
"35","hol","M1","hol M1",7,0,3
"36","hol","M1","hol M1",8,0,4
"37","hol","M1","hol M1",9,0,3
"38","hol","M1","hol M1",10,0,1
"39","hol","M1","hol M1",12,0,2
"40","hol","M2","hol M2",1,0,1
"41","hol","M2","hol M2",2,0,3
"42","hol","M2","hol M2",3,0,2
"43","hol","M2","hol M2",4,0,2
"44","hol","M2","hol M2",5,0,12
"45","hol","M2","hol M2",7,0,2
"46","hol","M2","hol M2",8,0,2
"47","hol","M2","hol M2",9,0,4
"48","hol","M2","hol M2",10,0,1
"49","hol","M2","hol M2",12,0,1
"50","hol","M2","hol M2",14,0,2
"51","hol","M2","hol M2",15,0,3
"52","hol","M2","hol M2",17,0,1
"53","hol","M2","hol M2",18,3,5
"54","hol","M2","hol M2",19,0,1
"55","hol","MR1","hol MR1",2,0,2
"56","hol","MR1","hol MR1",4,1,3
"57","hol","MR1","hol MR1",5,1,13
"58","hol","MR1","hol MR1",6,4,8
"59","hol","MR1","hol MR1",7,4,17
"60","hol","MR1","hol MR1",8,1,9
"61","hol","MR1","hol MR1",9,2,11
"62","hol","MR1","hol MR1",10,0,2
"63","hol","MR1","hol MR1",11,1,2
"64","hol","MR1","hol MR1",13,0,1
"65","hol","MR1","hol MR1",14,0,2
"66","hol","MR1","hol MR1",15,0,2
"67","hol","MR1","hol MR1",16,1,5
"68","hol","MR1","hol MR1",17,3,8
"69","hol","MR1","hol MR1",18,7,19
"70","hol","MR1","hol MR1",19,6,8
"71","hol","MR1","hol MR1",20,6,10
"72","hol","MR2","hol MR2",1,0,1
"73","hol","MR2","hol MR2",3,3,6
"74","hol","MR2","hol MR2",4,0,3
"75","hol","MR2","hol MR2",5,0,4
"76","hol","MR2","hol MR2",6,0,1
"77","hol","MR2","hol MR2",7,1,4
"78","hol","MR2","hol MR2",8,2,6
"79","hol","MR2","hol MR2",9,3,5
"80","hol","MR2","hol MR2",12,0,1
"81","hol","MR2","hol MR2",15,0,1
"82","hol","MR2","hol MR2",16,0,1
"83","hol","MR2","hol MR2",18,0,1
"84","hol","MR2","hol MR2",19,0,1
