"","egl.M1","egl.M2","egl.MR1","egl.MR2","hol.M1","hol.M2","hol.MR1","hol.MR2"
"1",NA,NA,NA,NA,NA,NA,NA,NA
"2",1,2,1,0,0,1,0,1
"3",4,1,2,2,0,3,2,0
"4",14,8,3,7,1,2,0,6
"5",2,0,0,1,1,2,3,3
"6",5,1,2,0,6,12,13,4
"7",2,1,2,1,8,0,8,1
"8",5,4,2,0,3,2,17,4
"9",3,2,2,1,4,2,9,6
"10",2,1,1,0,3,4,11,5
"11",0,0,0,0,1,1,2,0
"12",0,0,0,0,0,0,2,0
"13",0,NA,0,0,NA,1,0,1
"14",0,NA,0,0,NA,0,1,0
"15",0,NA,0,0,NA,2,2,0
"16",0,NA,0,0,NA,3,2,1
"17",0,NA,0,0,NA,0,5,1
"18",0,NA,0,0,NA,1,8,0
"19",0,NA,0,0,NA,5,19,1
"20",0,NA,0,0,NA,1,8,1
