"","grid","trip","month","year","total","cum.seed","seedm2","valley"
"1","egl M1",1,"May",1999,116,590.781767252356,590.781767252356,"egl"
"2","egl M1",2,"Aug",1999,6,621.339444868857,30.5576776165011,"egl"
"3","egl M1",3,"Nov",1999,2,631.52533740769,10.1858925388337,"egl"
"4","egl M1",4,"Feb",2000,4,20.3717850776674,20.3717850776674,"egl"
"5","egl M1",5,"May",2000,256,1324.16603004838,1303.79424497072,"egl"
"6","egl M1",6,"Aug",2000,74,1701.04405398523,376.878023936847,"egl"
"7","egl M1",7,"Nov",2000,3,1716.32289279348,15.2788388082506,"egl"
"8","egl M1",8,"Feb",2001,0,0,0,"egl"
"9","egl M1",9,"May",2001,0,0,0,"egl"
"10","egl M1",10,"Aug",2001,0,0,0,"egl"
"11","egl M1",11,"Nov",2001,0,0,0,"egl"
"12","egl M1",12,"May",2002,1,5.09294626941686,5.09294626941686,"egl"
"13","egl M1",13,"Nov",2002,0,5.09294626941686,0,"egl"
"14","egl M1",14,"Feb",2003,0,0,0,"egl"
"15","egl M1",15,"May",2003,4,20.3717850776674,20.3717850776674,"egl"
"16","egl M1",16,"Aug",2003,1,25.4647313470843,5.09294626941686,"egl"
"17","egl M1",17,"Nov",2003,0,25.4647313470843,0,"egl"
"18","egl M1",18,"Feb",2004,0,0,0,"egl"
"19","egl M1",19,"May",2004,0,0,0,"egl"
"20","egl M1",20,"Aug",2004,0,0,0,"egl"
"21","egl M2",1,"May",1999,351,1787.62414056532,1787.62414056532,"egl"
"22","egl M2",2,"Aug",1999,133,2464.98599439776,677.361853832442,"egl"
"23","egl M2",3,"Nov",1999,9,2510.82251082251,45.8365164247517,"egl"
"24","egl M2",4,"Feb",2000,0,0,0,"egl"
"25","egl M2",5,"May",2000,520,2648.33206009677,2648.33206009677,"egl"
"26","egl M2",6,"Aug",2000,126,3290.04329004329,641.711229946524,"egl"
"27","egl M2",7,"Nov",2000,19,3386.80926916221,96.7659791189203,"egl"
"28","egl M2",8,"Feb",2001,6,30.5576776165011,30.5576776165011,"egl"
"29","egl M2",9,"May",2001,0,30.5576776165011,0,"egl"
"30","egl M2",10,"Aug",2001,2,40.7435701553349,10.1858925388337,"egl"
"31","egl M2",11,"Nov",2001,0,40.7435701553349,0,"egl"
"32","egl M2",12,"May",2002,0,0,0,"egl"
"33","egl MR1",1,"May",1999,118,600.967659791189,600.967659791189,"egl"
"34","egl MR1",2,"Aug",1999,11,656.990068754775,56.0224089635854,"egl"
"35","egl MR1",3,"Nov",1999,0,656.990068754775,0,"egl"
"36","egl MR1",4,"Feb",2000,5,25.4647313470843,25.4647313470843,"egl"
"37","egl MR1",5,"May",2000,272,1410.74611662847,1385.28138528139,"egl"
"38","egl MR1",6,"Aug",2000,91,1874.2042271454,463.458110516934,"egl"
"39","egl MR1",7,"Nov",2000,11,1930.22663610899,56.0224089635854,"egl"
"40","egl MR1",8,"Feb",2001,2,10.1858925388337,10.1858925388337,"egl"
"41","egl MR1",9,"May",2001,0,10.1858925388337,0,"egl"
"42","egl MR1",10,"Aug",2001,0,10.1858925388337,0,"egl"
"43","egl MR1",11,"Nov",2001,1,15.2788388082506,5.09294626941686,"egl"
