"","grid","year","seed","trip.no","month"
"1","egl M1",1999,590.781767252356,1,"May"
"2","egl M1",1999,621.339444868857,2,"Aug"
"3","egl M1",1999,631.52533740769,3,"Nov"
"4","egl M1",2000,20.3717850776674,4,"Feb"
"5","egl M1",2000,1324.16603004838,5,"May"
"6","egl M1",2000,1701.04405398523,6,"Aug"
"7","egl M1",2000,1716.32289279348,7,"Nov"
"8","egl M1",2001,0,8,"Feb"
"9","egl M1",2001,0,9,"May"
"10","egl M1",2001,0,10,"Aug"
"11","egl M1",2001,0,11,"Nov"
"12","egl M1",2002,0,12,"May"
"13","egl M1",2003,0,14,"Feb"
"14","egl M1",2003,20.3717850776674,15,"May"
"15","egl M1",2003,25.4647313470843,16,"Aug"
"16","egl M1",2003,25.4647313470843,17,"Nov"
"17","egl M1",2004,0,18,"Feb"
"18","egl M1",2004,0,19,"May"
"19","egl M2",1999,1787.62414056532,1,"May"
"20","egl M2",1999,2464.98599439776,2,"Aug"
"21","egl M2",1999,2510.82251082251,3,"Nov"
"22","egl M2",2000,0,4,"Feb"
"23","egl M2",2000,2648.33206009677,5,"May"
"24","egl M2",2000,3290.04329004329,6,"Aug"
"25","egl M2",2000,3386.80926916221,7,"Nov"
"26","egl M2",2001,0,8,"Feb"
"27","egl M2",2001,0,9,"May"
"28","egl M2",2001,0,10,"Aug"
"29","egl M2",2001,0,11,"Nov"
"30","egl M2",2002,0,12,"May"
"31","egl MR1",1999,600.967659791189,1,"May"
"32","egl MR1",1999,656.990068754775,2,"Aug"
"33","egl MR1",1999,656.990068754775,3,"Nov"
"34","egl MR1",2000,25.4647313470843,4,"Feb"
"35","egl MR1",2000,1410.74611662847,5,"May"
"36","egl MR1",2000,1874.2042271454,6,"Aug"
"37","egl MR1",2000,1930.22663610899,7,"Nov"
"38","egl MR1",2001,0,8,"Feb"
"39","egl MR1",2001,0,9,"May"
"40","egl MR1",2001,0,10,"Aug"
"41","egl MR1",2001,0,11,"Nov"
"42","egl MR1",2002,0,12,"May"
"43","egl MR1",2003,0,14,"Feb"
"44","egl MR1",2003,20.3717850776674,15,"May"
"45","egl MR1",2003,25.4647313470843,16,"Aug"
"46","egl MR1",2003,25.4647313470843,17,"Nov"
"47","egl MR1",2004,0,18,"Feb"
"48","egl MR1",2004,0,19,"May"
"49","egl MR2",1999,1884.39011968424,1,"May"
"50","egl MR2",1999,2454.80010185893,2,"Aug"
"51","egl MR2",1999,2470.07894066718,3,"Nov"
"52","egl MR2",2000,5.09294626941686,4,"Feb"
"53","egl MR2",2000,483.829895594602,5,"May"
"54","egl MR2",2000,672.268907563025,6,"Aug"
"55","egl MR2",2000,748.663101604278,7,"Nov"
"56","egl MR2",2001,0,8,"Feb"
"57","egl MR2",2001,0,9,"May"
"58","egl MR2",2001,0,10,"Aug"
"59","egl MR2",2001,0,11,"Nov"
"60","egl MR2",2002,0,12,"May"
"61","egl MR2",2003,0,14,"Feb"
"62","egl MR2",2003,733.384262796028,15,"May"
"63","egl MR2",2003,1344.53781512605,16,"Aug"
"64","egl MR2",2003,1390.3743315508,17,"Nov"
"65","egl MR2",2004,0,18,"Feb"
"66","egl MR2",2004,0,19,"May"
"67","hol M1",1999,0,1,"May"
"68","hol M1",1999,0,2,"Aug"
"69","hol M1",1999,0,3,"Nov"
"70","hol M1",2000,0,4,"Feb"
