"","trip","month","grid","year"
"1",1,"May","egl M1",1999
"2",2,"Aug","egl M1",1999
"3",3,"Nov","egl M1",1999
"4",4,"Feb","egl M1",2000
"5",5,"May","egl M1",2000
"6",6,"Aug","egl M1",2000
"7",7,"Nov","egl M1",2000
"8",8,"Feb","egl M1",2001
"9",9,"May","egl M1",2001
"10",10,"Aug","egl M1",2001
"11",11,"Nov","egl M1",2001
"12",12,"May","egl M1",2002
"13",13,"Nov","egl M1",2002
"14",14,"Feb","egl M1",2003
"15",15,"May","egl M1",2003
"16",16,"Aug","egl M1",2003
"17",17,"Nov","egl M1",2003
"18",18,"Feb","egl M1",2004
"19",19,"May","egl M1",2004
"20",20,"Aug","egl M1",2004
"21",1,"May","egl M2",1999
"22",2,"Aug","egl M2",1999
"23",3,"Nov","egl M2",1999
"24",4,"Feb","egl M2",2000
"25",5,"May","egl M2",2000
"26",6,"Aug","egl M2",2000
"27",7,"Nov","egl M2",2000
"28",8,"Feb","egl M2",2001
"29",9,"May","egl M2",2001
"30",10,"Aug","egl M2",2001
"31",11,"Nov","egl M2",2001
"32",12,"May","egl M2",2002
"33",1,"May","egl MR1",1999
"34",2,"Aug","egl MR1",1999
"35",3,"Nov","egl MR1",1999
"36",4,"Feb","egl MR1",2000
"37",5,"May","egl MR1",2000
"38",6,"Aug","egl MR1",2000
"39",7,"Nov","egl MR1",2000
"40",8,"Feb","egl MR1",2001
"41",9,"May","egl MR1",2001
"42",10,"Aug","egl MR1",2001
"43",11,"Nov","egl MR1",2001
"44",12,"May","egl MR1",2002
"45",13,"Nov","egl MR1",2002
"46",14,"Feb","egl MR1",2003
"47",15,"May","egl MR1",2003
"48",16,"Aug","egl MR1",2003
"49",17,"Nov","egl MR1",2003
"50",18,"Feb","egl MR1",2004
"51",19,"May","egl MR1",2004
"52",20,"Aug","egl MR1",2004
"53",1,"May","egl MR2",1999
"54",2,"Aug","egl MR2",1999
"55",3,"Nov","egl MR2",1999
"56",4,"Feb","egl MR2",2000
"57",5,"May","egl MR2",2000
"58",6,"Aug","egl MR2",2000
"59",7,"Nov","egl MR2",2000
"60",8,"Feb","egl MR2",2001
"61",9,"May","egl MR2",2001
"62",10,"Aug","egl MR2",2001
"63",11,"Nov","egl MR2",2001
"64",12,"May","egl MR2",2002
"65",13,"Nov","egl MR2",2002
"66",14,"Feb","egl MR2",2003
"67",15,"May","egl MR2",2003
"68",16,"Aug","egl MR2",2003
"69",17,"Nov","egl MR2",2003
"70",18,"Feb","egl MR2",2004
"71",19,"May","egl MR2",2004
"72",20,"Aug","egl MR2",2004
"73",1,"May","hol M1",1999
"74",2,"Aug","hol M1",1999
"75",3,"Nov","hol M1",1999
"76",4,"Feb","hol M1",2000
"77",5,"May","hol M1",2000
"78",6,"Aug","hol M1",2000
"79",7,"Nov","hol M1",2000
"80",8,"Feb","hol M1",2001
"81",9,"May","hol M1",2001
"82",10,"Aug","hol M1",2001
"83",11,"Nov","hol M1",2001
"84",12,"May","hol M1",2002
"85",1,"May","hol M2",1999
"86",2,"Aug","hol M2",1999
"87",3,"Nov","hol M2",1999
"88",4,"Feb","hol M2",2000
"89",5,"May","hol M2",2000
"90",6,"Aug","hol M2",2000
"91",7,"Nov","hol M2",2000
"92",8,"Feb","hol M2",2001
"93",9,"May","hol M2",2001
"94",10,"Aug","hol M2",2001
"95",11,"Nov","hol M2",2001
"96",12,"May","hol M2",2002
"97",13,"Nov","hol M2",2002
"98",14,"Feb","hol M2",2003
"99",15,"May","hol M2",2003
"100",16,"Aug","hol M2",2003
"101",17,"Nov","hol M2",2003
"102",18,"Feb","hol M2",2004
"103",19,"May","hol M2",2004
"104",20,"Aug","hol M2",2004
"105",1,"May","hol MR1",1999
"106",2,"Aug","hol MR1",1999
"107",3,"Nov","hol MR1",1999
"108",4,"Feb","hol MR1",2000
"109",5,"May","hol MR1",2000
"110",6,"Aug","hol MR1",2000
"111",7,"Nov","hol MR1",2000
"112",8,"Feb","hol MR1",2001
"113",9,"May","hol MR1",2001
"114",10,"Aug","hol MR1",2001
"115",11,"Nov","hol MR1",2001
"116",12,"May","hol MR1",2002
"117",13,"Nov","hol MR1",2002
"118",14,"Feb","hol MR1",2003
"119",15,"May","hol MR1",2003
"120",16,"Aug","hol MR1",2003
"121",17,"Nov","hol MR1",2003
"122",18,"Feb","hol MR1",2004
"123",19,"May","hol MR1",2004
"124",20,"Aug","hol MR1",2004
"125",1,"May","hol MR2",1999
"126",2,"Aug","hol MR2",1999
"127",3,"Nov","hol MR2",1999
"128",4,"Feb","hol MR2",2000
"129",5,"May","hol MR2",2000
"130",6,"Aug","hol MR2",2000
"131",7,"Nov","hol MR2",2000
"132",8,"Feb","hol MR2",2001
"133",9,"May","hol MR2",2001
"134",10,"Aug","hol MR2",2001
"135",11,"Nov","hol MR2",2001
"136",12,"May","hol MR2",2002
"137",13,"Nov","hol MR2",2002
"138",14,"Feb","hol MR2",2003
"139",15,"May","hol MR2",2003
"140",16,"Aug","hol MR2",2003
"141",17,"Nov","hol MR2",2003
"142",18,"Feb","hol MR2",2004
"143",19,"May","hol MR2",2004
"144",20,"Aug","hol MR2",2004
