"","Time","N1_1","N1_2","N1_3","N1_4","N1_5","N1_6","N1_7","N1_8","N2_1","N2_2","N2_3","N2_4","N2_5","N2_6","N2_7","N2_8"
"1",91,4.4549844857469,3.33947787773478,3.55253545879669,4.18820355037119,1.83077971409332,3.76257027261549,1.17752422008154,3.41547829321683,0.63152533740769,2.51082251082251,0.656990068754775,2.47007894066718,0,0.0305576776165011,0.106951871657754,0.0101858925388337
"2",182,4.95746844679794,5.02861918958397,4.74750670980503,5.53418519322772,1.58774830122327,3.24549556022103,1.3212957305763,3.25827430704972,0.63152533740769,2.51082251082251,0.656990068754775,2.47007894066718,0,0.0305576776165011,0.106951871657754,0.0101858925388337
"3",274,4.83801246418785,4.43757784668663,4.20453562686206,4.98949233856755,1.68317667657527,2.68797398494758,1.70098710167349,2.88324362455778,0.63152533740769,2.51082251082251,0.656990068754775,2.47007894066718,0,0.0305576776165011,0.106951871657754,0.0101858925388337
"4",365,3.25425592797084,3.040430003815,3.18587359400743,3.54196756108655,1.79007678329146,2.95094150203812,2.03982127241246,3.28312626489633,1.71632289279348,3.38680926916221,1.93022663610899,0.748663101604278,0.0865800865800866,0.814871403106697,0.53475935828877,1.57881334351923
"5",456,4.48701105490387,3.24488441925527,4.07976049243646,3.94611734938839,2.31009493459385,4.17656249412995,2.65974637108439,4.56337391939789,1.71632289279348,3.38680926916221,1.93022663610899,0.748663101604278,0.0865800865800866,0.814871403106697,0.53475935828877,1.57881334351923
"6",548,4.89986294848678,5.16323429154973,4.59099370170206,4.73423780598429,2.89430475980547,4.31468077514617,2.80087155282858,4.56762646498715,1.71632289279348,3.38680926916221,1.93022663610899,0.748663101604278,0.0865800865800866,0.814871403106697,0.53475935828877,1.57881334351923
"7",639,4.8164255166332,4.91965935825827,4.90356351799388,4.23376114849374,3.14765600017602,3.74848192711488,3.17845394527735,4.5932152932753,1.71632289279348,3.38680926916221,1.93022663610899,0.748663101604278,0.0865800865800866,0.814871403106697,0.53475935828877,1.57881334351923
"8",730,3.48316344828011,2.65797010875707,2.90063992986248,3.17125687343212,2.68309002282095,3.71976727384043,2.84410223838764,3.89193951629099,0,0,0,0,0,0,0,0
"9",821,2.82605878851168,1.75639262575162,2.4646019881766,2.32720440621276,2.49251930846134,3.51705542721196,2.6689975949205,2.95292198950096,0,0,0,0,0,0,0,0
"10",912,1.47821167492945,1.3298449674578,1.58702621988851,1.50898935357268,1.49348196483131,2.55543734043482,1.26295743918748,1.37467110854557,0,0,0,0,0,0,0,0
"11",1004,1.12481386649115,1.10652717851995,1.10891196880741,1.16482073323017,0.782827217907433,1.49075278590157,0.686697609157797,0.850362384218248,0,0,0,0,0,0,0,0
"12",1186,1.15164770758172,0.741778729296929,0.867287776889152,0.932754396866892,0.585761230511443,1.13559084019355,0.775557666399697,0.93723024018748,0,0,0,0,0,0,0,0
"13",1369,1.11382766070317,0.712412992124638,0.806275594907032,0.850524172900922,0.573821708536431,0.836846747261193,NA,NA,0,0,0,0,0,0,NA,NA
"14",1460,1.60509843387115,1.01957732191842,1.43316408640362,1.02732361509735,0.933061752610678,0.739149538086977,NA,NA,0.0254647313470843,0.0254647313470843,1.3903743315508,0.473644003055768,2.40387063916476,0.860707919531449,NA,NA
"15",1551,2.28942672167376,1.37396494619227,2.93330218109627,1.90778626339503,1.63673413868557,1.45166337307698,NA,NA,0.0254647313470843,0.0254647313470843,1.3903743315508,0.473644003055768,2.40387063916476,0.860707919531449,NA,NA
"16",1642,2.96990216995753,2.0748703849271,4.9187224097851,2.90911669311217,2.26126150265005,3.06107274340484,NA,NA,0.0254647313470843,0.0254647313470843,1.3903743315508,0.473644003055768,2.40387063916476,0.860707919531449,NA,NA
"17",1734,2.94503971568514,2.42716160937208,4.44074232793503,3.09722127886251,2.14360282272696,3.2415589471841,NA,NA,0.0254647313470843,0.0254647313470843,1.3903743315508,0.473644003055768,2.40387063916476,0.860707919531449,NA,NA
"18",1825,3.82333028750808,3.31066362507617,3.56463717635029,3.23490813452034,2.23739813125707,2.82427603542489,NA,NA,0,0,0.0407435701553349,0.0254647313470843,0.0101858925388337,0,NA,NA
"19",1916,2.63861115503295,2.35752846009958,3.06062382950579,2.23099342531052,1.57474139078609,2.06512229290415,NA,NA,0,0,0.0407435701553349,0.0254647313470843,0.0101858925388337,0,NA,NA
"20",2008,1.79858958156533,1.61824212119605,3.02498123224211,1.84014084305275,1.37597301453393,1.57665513206182,NA,NA,0,0,0.0407435701553349,0.0254647313470843,0.0101858925388337,0,NA,NA
