year,season,mice,transmice
1972,0,1.47,2.5435
1972,1,0.9804,2.0294
1972,2,0,1
1973,3,0,1
1973,0,0,1
1973,1,0.4902,1.5147
1973,2,0,1
1974,3,0,1
1974,0,4.902,6.1471
1974,1,6.3725,7.6912
1974,2,0.9804,2.0294
1975,3,3.9216,5.1176
1975,0,8.3333,9.75
1975,1,4.4118,5.6324
1975,2,0.4902,1.5147
1976,3,0,1
1976,0,2.9412,4.0882
1976,1,7.3529,8.7206
1976,2,5.3922,6.6618
1977,3,4.4118,5.6324
1977,0,3.9216,5.1176
1977,1,4.4118,5.6324
1977,2,0,1
1978,3,0,1
1978,0,0.9804,2.0294
1978,1,1.9608,3.0588
1978,2,0.4902,1.5147
1979,3,0,1
1979,0,1.4706,2.5441
1979,1,9.8039,11.2941
1979,2,4.4118,5.6324
1980,3,2.9412,4.0882
1980,0,2.9412,4.0882
1980,1,0,1
1980,2,0,1
1981,3,0,1
1981,0,0,1
1981,1,0,1
1981,2,1.9608,3.0588
1982,3,3.9216,5.1176
1982,0,3.4314,4.6029
1982,1,6.3725,7.6912
1982,2,1.4706,2.5441
1983,3,4.902,6.1471
1983,0,0.9804,2.0294
1983,1,0.01,1.0105
1983,2,1.4706,2.5441
1984,3,0,1
1984,0,0,1
1984,1,0.4902,1.5147
1984,2,0.01,1.0105
1985,3,0.4902,1.5147
1985,0,0.9804,2.0294
1985,1,3.4314,4.6029
1985,2,2.9412,4.0882
1986,3,0.9804,2.0294
1986,0,4.902,6.1471
1986,1,8.5,9.925
1986,2,14.7059,16.4412
1987,3,5.3922,6.6618
1987,0,2.451,3.5735
1987,1,3.4314,4.6029
1987,2,0.4902,1.5147
1988,3,0,1
1988,0,0,1
1988,1,0,1
1988,2,0.4902,1.5147
1989,3,0,1
1989,0,0.4902,1.5147
1989,1,4.4118,5.6324
1989,2,1.9608,3.0588
1990,3,0,1
1990,0,8.3333,9.75
1990,1,9.8039,11.2941
1990,2,7.3529,8.7206
1991,3,0.4902,1.5147
1991,0,2.9412,4.0882
1991,1,1.9608,3.0588
1991,2,1.4706,2.5441
1992,3,2.451,3.5735
1992,0,0,1
1992,1,0,1
1992,2,0,1
1993,3,0.9804,2.0294
1993,0,0,1
1993,1,0,1
1993,2,0.4902,1.5147
1994,3,0,1
1994,0,0.5051,1.5303
1994,1,0.4902,1.5147
1994,2,0.4902,1.5147
1995,3,0.9804,2.0294
1995,0,1.4706,2.5441
1995,1,10.2941,11.8088
1995,2,10.7843,12.3235
1996,3,5.8824,7.1765
1996,0,2.9412,4.0882
1996,1,3.4314,4.6029
1996,2,0.9804,2.0294
