,mean.lam,se.lam,lcl.lam,ucl.lam,model,var,trip,grid.n,grid,valley,grid.id,min_ind,min_rats
1,83.97851045,19.61453484,46.85828293,122.2234477,log,"lambda[1,1]",1,1,egl M1,egl,M1,29,1
2,145.7760412,28.09707624,99.2516517,210.3311156,log,"lambda[2,1]",2,1,egl M1,egl,M1,65,4
3,125.726931,18.65781091,92.99141688,166.8669202,log,"lambda[3,1]",3,1,egl M1,egl,M1,75,14
4,23.39719127,4.777365946,15.22630449,33.8607133,log,"lambda[4,1]",4,1,egl M1,egl,M1,22,2
5,88.01743598,20.5687757,51.5154684,129.1313561,log,"lambda[5,1]",5,1,egl M1,egl,M1,32,5
6,132.9077709,26.53857326,87.9030848,187.5729833,log,"lambda[6,1]",6,1,egl M1,egl,M1,46,2
7,127.2890382,22.5687788,89.39661743,177.004005,log,"lambda[7,1]",7,1,egl M1,egl,M1,65,5
8,33.12971744,7.550896956,20.36114981,49.8565371,log,"lambda[8,1]",8,1,egl M1,egl,M1,24,3
9,17.21002936,4.991764075,9.208485972,28.91132677,log,"lambda[9,1]",9,1,egl M1,egl,M1,13,2
10,2.311735079,1.185281674,0.743051009,5.358069903,log,"lambda[10,1]",10,1,egl M1,egl,M1,0,0
11,1.476120545,0.894685963,0.279173769,3.700639863,log,"lambda[11,1]",11,1,egl M1,egl,M1,1,0
12,1.809378967,0.995039929,0.489852699,4.31082656,log,"lambda[12,1]",12,1,egl M1,egl,M1,1,0
13,1.336460993,0.772938222,0.342371277,3.239208642,log,"lambda[13,1]",13,1,egl M1,egl,M1,1,0
14,4.510151515,1.935553126,1.725968188,9.20717355,log,"lambda[14,1]",14,1,egl M1,egl,M1,1,0
15,9.873788636,3.686217853,4.61648003,18.87190133,log,"lambda[15,1]",15,1,egl M1,egl,M1,6,0
16,18.09522744,5.281174826,9.368068033,29.91196285,log,"lambda[16,1]",16,1,egl M1,egl,M1,13,0
17,15.11894177,4.019936404,8.504554274,24.11612607,log,"lambda[17,1]",17,1,egl M1,egl,M1,12,0
18,47.38266132,8.991039379,32.15257185,67.41737618,log,"lambda[18,1]",18,1,egl M1,egl,M1,35,0
19,13.54480387,3.760082361,7.390071237,22.2682362,log,"lambda[19,1]",19,1,egl M1,egl,M1,11,0
20,3.671476311,1.801440543,1.188747842,8.052080319,log,"lambda[20,1]",20,1,egl M1,egl,M1,4,0
21,26.61721926,8.507715242,11.25907389,44.39905813,log,"lambda[1,2]",1,2,egl M2,egl,M2,10,2
22,153.9063849,24.53157249,105.5381534,198.002428,log,"lambda[2,2]",2,2,egl M2,egl,M2,47,1
23,87.26821876,17.43132678,59.92850943,127.7627385,log,"lambda[3,2]",3,2,egl M2,egl,M2,52,8
24,21.59709946,7.993264431,10.06018492,41.79233803,log,"lambda[4,2]",4,2,egl M2,egl,M2,12,0
25,22.86155858,6.106332484,11.71985353,35.8772869,log,"lambda[5,2]",5,2,egl M2,egl,M2,7,1
26,179.9216979,29.0640113,122.4802941,232.6186688,log,"lambda[6,2]",6,2,egl M2,egl,M2,56,1
27,133.811073,24.88527649,91.42422666,188.3754525,log,"lambda[7,2]",7,2,egl M2,egl,M2,61,4
28,12.43891165,4.970706609,5.686247163,25.17498406,log,"lambda[8,2]",8,2,egl M2,egl,M2,10,2
29,5.193209181,2.213416812,2.028175527,10.51897514,log,"lambda[9,2]",9,2,egl M2,egl,M2,3,1
30,2.969391947,1.602667895,0.769044217,6.880401531,log,"lambda[10,2]",10,2,egl M2,egl,M2,0,0
31,1.631609585,1.17843925,0.259160788,4.717544907,log,"lambda[11,2]",11,2,egl M2,egl,M2,0,0
32,1.156139663,1.036406371,0.112101675,3.976561252,log,"lambda[12,2]",12,2,egl M2,egl,M2,0,0
33,32.91578764,10.07038336,16.89745377,54.4755918,log,"lambda[1,3]",1,3,egl MR1,egl,MR1,14,1
34,118.7745548,25.58585398,79.82081942,181.239504,log,"lambda[2,3]",2,3,egl MR1,egl,MR1,53,2
35,66.41219833,12.75447552,45.54159435,95.09353245,log,"lambda[3,3]",3,3,egl MR1,egl,MR1,40,3
36,21.67841881,6.531034031,11.60806949,36.94838581,log,"lambda[4,3]",4,3,egl MR1,egl,MR1,12,0
37,60.0535223,15.70805717,32.3705184,93.00947813,log,"lambda[5,3]",5,3,egl MR1,egl,MR1,24,2
38,100.7284167,20.29193316,62.23150406,138.0712445,log,"lambda[6,3]",6,3,egl MR1,egl,MR1,32,2
39,129.998586,18.98021899,96.67854162,171.2945554,log,"lambda[7,3]",7,3,egl MR1,egl,MR1,77,2
40,16.5051487,4.78351404,8.92693475,27.29208715,log,"lambda[8,3]",8,3,egl MR1,egl,MR1,12,2
41,11.9449731,4.25516829,5.735945512,22.09150829,log,"lambda[9,3]",9,3,egl MR1,egl,MR1,9,1
42,3.485268795,1.65334982,1.201249573,7.641379427,log,"lambda[10,3]",10,3,egl MR1,egl,MR1,2,0
43,1.42528869,0.924122145,0.326565103,3.831114503,log,"lambda[11,3]",11,3,egl MR1,egl,MR1,0,0
44,1.109456711,0.741267709,0.236740469,3.055201459,log,"lambda[12,3]",12,3,egl MR1,egl,MR1,0,0
45,0.632091791,0.495655765,0.10856914,1.936423175,log,"lambda[13,3]",13,3,egl MR1,egl,MR1,0,0
46,1.98735549,1.234868316,0.408339334,5.203888195,log,"lambda[14,3]",14,3,egl MR1,egl,MR1,0,0
