"","grid","trip","month","year","totalm2","cum.seed","valley"
"1","egl M1",1,"May",1999,590.932246561386,784.513499745288,"egl"
"2","egl M1",2,"Aug",1999,30.5654610290372,815.078960774325,"egl"
"3","egl M1",3,"Nov",1999,10.1884870096791,825.267447784004,"egl"
"4","egl M1",4,"Feb",2000,20.3769740193581,20.3769740193581,"egl"
"5","egl M1",5,"May",2000,1304.12633723892,1324.50331125828,"egl"
"6","egl M1",6,"Aug",2000,376.974019358125,1701.4773306164,"egl"
"7","egl M1",7,"Nov",2000,15.2827305145186,1716.76006113092,"egl"
"8","egl M1",8,"Feb",2001,0,0,"egl"
"9","egl M1",9,"May",2001,0,0,"egl"
"10","egl M1",10,"Aug",2001,0,0,"egl"
"11","egl M1",11,"Nov",2001,0,0,"egl"
"12","egl M1",12,"May",2002,5.09424350483953,5.09424350483953,"egl"
"13","egl M1",13,"Nov",2002,0,5.09424350483953,"egl"
"14","egl M1",14,"Feb",2003,0,0,"egl"
"15","egl M1",15,"May",2003,20.3769740193581,20.3769740193581,"egl"
"16","egl M1",16,"Aug",2003,5.09424350483953,25.4712175241977,"egl"
"17","egl M1",17,"Nov",2003,0,25.4712175241977,"egl"
"18","egl M1",18,"Feb",2004,0,0,"egl"
"19","egl M1",19,"May",2004,0,0,"egl"
"20","egl M1",20,"Aug",2004,0,0,"egl"
"21","egl M2",1,"May",1999,1788.07947019868,1808.45644421803,"egl"
"22","egl M2",2,"Aug",1999,677.534386143658,2485.99083036169,"egl"
"23","egl M2",3,"Nov",1999,45.8481915435558,2531.83902190525,"egl"
"24","egl M2",4,"Feb",2000,0,0,"egl"
"25","egl M2",5,"May",2000,2649.00662251656,2649.00662251656,"egl"
"26","egl M2",6,"Aug",2000,641.874681609781,3290.88130412634,"egl"
"27","egl M2",7,"Nov",2000,96.7906265919511,3387.67193071829,"egl"
"28","egl M2",8,"Feb",2001,30.5654610290372,30.5654610290372,"egl"
"29","egl M2",9,"May",2001,0,30.5654610290372,"egl"
"30","egl M2",10,"Aug",2001,10.1884870096791,40.7539480387163,"egl"
"31","egl M2",11,"Nov",2001,0,40.7539480387163,"egl"
"32","egl M2",12,"May",2002,0,0,"egl"
"33","egl M2",13,"Nov",2002,0,0,"egl"
"34","egl M2",14,"Feb",2003,157.921548650025,157.921548650025,"egl"
"35","egl MR1",1,"May",1999,601.120733571065,896.586856851757,"egl"
