valley,grid.id,year,month,trip.no,red,silver,mountain
E,M1,1999,Feb,0,0,4,34
E,M1,1999,May,1,81,31,4
E,M1,1999,Aug,2,5,1,0
E,M1,1999,Nov,3,1,0,1
E,M1,2000,Feb,4,0,0,4
E,M1,2000,May,5,222,31,3
E,M1,2000,Aug,6,48,26,0
E,M1,2000,Nov,7,1,2,0
E,M1,2001,Feb,8,0,0,0
E,M1,2001,May,9,0,0,0
E,M1,2001,Aug,10,0,0,0
E,M1,2001,Nov,11,0,0,0
E,M1,2002,May,12,0,1,0
E,M1,2002,Nov,13,0,0,0
E,M1,2003,Feb,14,0,0,0
E,M1,2003,May,15,2,1,1
E,M1,2003,Aug,16,1,0,0
E,M1,2003,Nov,17,0,0,0
E,M1,2004,Feb,18,0,0,0
E,M1,2004,May,19,0,0,0
E,M1,2004,Aug,20,0,0,0
H,M1,1999,Feb,0,0,11,0
H,M1,1999,May,1,0,0,0
H,M1,1999,Aug,2,0,0,0
H,M1,1999,Nov,3,0,0,0
H,M1,2000,Feb,4,0,0,0
H,M1,2000,May,5,0,13,0
H,M1,2000,Aug,6,0,3,0
H,M1,2000,Nov,7,0,1,0
H,M1,2001,Feb,8,0,0,0
H,M1,2001,May,9,0,0,0
H,M1,2001,Aug,10,0,0,0
H,M1,2001,Nov,11,0,0,0
H,M1,2002,May,12,0,0,0
H,M1,2002,Nov,13,0,1,0
E,M2,1999,Feb,0,4,0,0
E,M2,1999,May,1,350,1,0
E,M2,1999,Aug,2,132,1,0
E,M2,1999,Nov,3,9,0,0
E,M2,2000,Feb,4,0,0,0
E,M2,2000,May,5,485,4,31
E,M2,2000,Aug,6,120,6,0
E,M2,2000,Nov,7,18,1,0
E,M2,2001,Feb,8,6,0,0
E,M2,2001,May,9,0,0,0
E,M2,2001,Aug,10,2,0,0
E,M2,2001,Nov,11,0,0,0
E,M2,2002,May,12,0,0,0
E,M2,2002,Nov,13,0,0,0
E,M2,2003,Feb,14,31,0,0
H,M2,1999,Feb,0,0,0,0
H,M2,1999,May,1,0,5,0
H,M2,1999,Aug,2,0,1,0
H,M2,1999,Nov,3,0,0,0
H,M2,2000,Feb,4,0,16,0
H,M2,2000,May,5,0,85,0
H,M2,2000,Aug,6,0,57,0
H,M2,2000,Nov,7,0,2,0
H,M2,2001,Feb,8,0,0,0
H,M2,2001,May,9,0,0,0
H,M2,2001,Aug,10,0,0,0
H,M2,2001,Nov,11,0,1,0
