"","X","egl.M1","egl.M2","egl.MR1","egl.MR2","hol.M1","hol.M2","hol.MR1","hol.MR2"
"1",1,1,1,1,2,2,2,2,NA
"2",1,1,1,1,2,2,2,2,1
"3",1,1,1,1,2,2,2,2,0
"4",1,1,1,1,2,2,2,2,6
"5",1,1,1,1,2,2,2,2,3
"6",1,1,1,1,2,2,2,2,4
"7",1,1,1,1,2,2,2,2,1
"8",1,1,1,1,2,2,2,2,4
"9",1,1,1,1,2,2,2,2,6
"10",1,1,1,1,2,2,2,2,5
"11",1,1,1,1,2,2,2,2,0
"12",1,1,1,1,1,1,1,1,0
"13",1,NA,1,1,NA,1,1,1,1
"14",1,NA,1,1,NA,1,1,1,0
"15",1,NA,1,1,NA,1,1,1,0
"16",1,NA,1,1,NA,1,1,1,1
"17",1,NA,1,1,NA,1,1,1,1
"18",1,NA,1,1,NA,1,1,1,0
"19",1,NA,1,1,NA,1,1,1,1
"20",1,NA,1,1,NA,1,1,1,1
